PK_CLASSIFICATIONS,CLASSIFICATION,SCI_FIELD
35,"Engineering, Ocean",oceanography
159,Marine & Freshwater Biology,oceanography
160,Marine & Freshwater Biology,oceanography
292,Oceanography,oceanography
395,"Engineering, Marine",oceanography
396,Oceanography,oceanography
24,Economics,economics
141,Agricultural Economics & Policy,economics
384,Business & Economics,economics
64,Biomedical Social Sciences,social sciences
130,Social Work,social sciences
184,Social Work,social sciences
216,"Social Sciences, Biomedical",social sciences
222,"Social Sciences, Interdisciplinary",social sciences
223,Social Sciences - Other Topics,social sciences
226,Social Issues,social sciences
233,"Psychology, Social",social sciences
238,"Social Sciences, Mathematical Methods",social sciences
244,Sociology,social sciences
247,History Of Social Sciences,social sciences
248,Social Issues,social sciences
311,Social Sciences,social sciences
351,Sociology,social sciences
401,Mathematical Methods In Social Sciences,social sciences
12,"Computer Science, Software Engineering",computer science
29,"Computer Science, Hardware & Architecture",computer science
32,"Computer Science, Artificial Intelligence",computer science
55,Computer Science,computer science
109,Medical Informatics,computer science
167,Medical Informatics,computer science
207,"Computer Science, Information Systems",computer science
208,"Computer Science, Interdisciplinary Applications",computer science
253,"Computer Science, Cybernetics",computer science
271,"Computer Science, Theory & Methods",computer science
